created_at	id	text	lang	name	userid	location	statuses_count	createdate	timedelta	rate
Wed Apr 25 22:27:11 +0000 2018	989269618723360768	RT @sajede_dalili: This is the bio of Dr. Ronny L. Jackson, the WH physician nominated to lead the Department of Veterans Affairs who smugg…	en	Tim Morgan	249967206	Jersey Shore	8451	2011-02-10 04:08:33	2631	3.2120866590649944
Wed Apr 25 22:27:11 +0000 2018	989269619780325376	RT @KaivanShroff: These prominent black artists just unfollowed Kanye West:  Drake Jaden Smith Janelle Monáe Kendrick Lamar Nicki Minaj Rih…	en	Demetrius	100009338	Chicago, IL	1582	2009-12-28 18:03:31	3039	0.5205659756498848
Wed Apr 25 22:27:11 +0000 2018	989269619717365762	RT @LDRaddic: Unfollow na poc: Lana Del Rey deu unfollow em Kanye West após ele demostrar apoio ao político Donald Trump https://t.co/uXhSa…	pt	Our Lust For Life	2307129330	São Paulo - Capital	6072	2014-01-23 19:40:54	1552	3.9123711340206184
Wed Apr 25 22:27:11 +0000 2018	989269620648562688	RT @KennyKnox: Don’t drag me into this https://t.co/yHCHIXrue7	en	may 7 💛	785554026058223616	txx	3658	2016-10-10 18:54:09	561	6.520499108734403
Wed Apr 25 22:27:12 +0000 2018	989269621789396992	RT @PopCrave: Justin Bieber, BTS, The Weeknd, Rihanna, Ariana Grande, Harry Styles, Katy Perry, Nicki Minaj, and Kendrick Lamar are among t…	en	hi	2247461216		111934	2013-12-15 16:41:54	1591	70.35449402891264
Wed Apr 25 22:27:12 +0000 2018	989269622217048065	Kanye wakes! #TheGreatAwakening https://t.co/dUgnpIbCTy	in	Bryan Mordt	51211716	Maricopa, AZ	1771	2009-06-26 20:27:57	3224	0.549317617866005
Wed Apr 25 22:27:12 +0000 2018	989269622363848705	RT @PopCrave: Justin Bieber, BTS, The Weeknd, Rihanna, Ariana Grande, Harry Styles, Katy Perry, Nicki Minaj, and Kendrick Lamar are among t…	en	alexis beckman	1717454894	Laguna Beach, CA	25260	2013-09-01 02:31:42	1697	14.885091337654686
Wed Apr 25 22:27:12 +0000 2018	989269621906837509	"RT @larrydetetive: 📲 | Harry deu unfollow no Kanye West, após o mesmo tweetar ""Donald Trump é meu irmão e eu amo ele""  Harry reizinho sensa…"	pt	🌻kely; #familiar	4452496475	Brasil	34800	2015-12-11 21:36:50	865	40.23121387283237
Wed Apr 25 22:27:12 +0000 2018	989269622674411521	RT @1776Stonewall: It's hilarious when liberals talk about conservative fear tactics. You idiots have been led to believe the Earth is dyin…	en	Jackie	2204105004		7823	2013-11-20 02:24:32	1617	4.837971552257266
Wed Apr 25 22:27:12 +0000 2018	989269623630651393	eitaaa https://t.co/sQIU79AJYw	pt	Lua; Tear	633920603	#OT7 #방탄소년단	8620	2012-07-12 18:00:35	2112	4.081439393939394
Wed Apr 25 22:27:13 +0000 2018	989269625849483264	amo https://t.co/GxiHTyWcsm	und	ɐpnp 💧	3068432543	dinahsty postmalone khalid sza	77793	2015-03-03 18:49:47	1148	67.76393728222996
Wed Apr 25 22:27:13 +0000 2018	989269625736253440	Chris Wylie @chrisinsilico to congressional investigators: Trump campaign strategist Steve Bannon asked… https://t.co/WdK9IT73dM	en	Julie Laumann #FBPE 🌎	53190110		31537	2009-07-02 21:15:04	3218	9.800186451211934
Wed Apr 25 22:27:13 +0000 2018	989269627556556802	RT @Chris_Meloni: The guy who can’t help but be a dick https://t.co/TlMuDGZeau	en	MissMelissa	807413918586933248	Erie, PA	32551	2016-12-10 02:37:34	501	64.97205588822355
Wed Apr 25 22:27:13 +0000 2018	989269627950710784	RT @DragonflyJonez: Trump supporters really hop on this here internet and defend the right to support Trump based on the merits of civility…	en	Kris Riley	294247099	Fairbanks, AK	13580	2011-05-06 19:59:54	2545	5.335952848722986
